Group;Plate;Concentration;Compound;Condition;Row;Column;Counts;ConditionID;GroupID
G0 + G1;567;100;PFOA;PFOA:100;;1;13016;;
S;567;100;PFOA;PFOA:100;;1;1632;;
G2 + early M;567;100;PFOA;PFOA:100;;1;367;;
late M;567;100;PFOA;PFOA:100;;1;190;;
Small;567;100;PFOA;PFOA:100;;1;294;;
Large;567;100;PFOA;PFOA:100;;1;132;;
0:None;567;100;PFOA;PFOA:100;;1;21;;
G0 + G1;567;10;PFOA;PFOA:10;;2;11555;;
G2 + early M;567;10;PFOA;PFOA:10;;2;529;;
S;567;10;PFOA;PFOA:10;;2;1728;;
Small;567;10;PFOA;PFOA:10;;2;315;;
0:None;567;10;PFOA;PFOA:10;;2;26;;
late M;567;10;PFOA;PFOA:10;;2;243;;
Large;567;10;PFOA;PFOA:10;;2;84;;
G0 + G1;567;1;PFOA;PFOA:1;;3;10734;;
G2 + early M;567;1;PFOA;PFOA:1;;3;269;;
S;567;1;PFOA;PFOA:1;;3;1071;;
Small;567;1;PFOA;PFOA:1;;3;185;;
late M;567;1;PFOA;PFOA:1;;3;166;;
0:None;567;1;PFOA;PFOA:1;;3;22;;
Large;567;1;PFOA;PFOA:1;;3;98;;
G2 + early M;567;0,1;PFOA;PFOA:0,1;;4;446;;
S;567;0,1;PFOA;PFOA:0,1;;4;1433;;
0:None;567;0,1;PFOA;PFOA:0,1;;4;28;;
G0 + G1;567;0,1;PFOA;PFOA:0,1;;4;7032;;
Small;567;0,1;PFOA;PFOA:0,1;;4;234;;
late M;567;0,1;PFOA;PFOA:0,1;;4;127;;
Large;567;0,1;PFOA;PFOA:0,1;;4;55;;
G0 + G1;567;0,01;PFOA;PFOA:0,01;;5;11436;;
late M;567;0,01;PFOA;PFOA:0,01;;5;221;;
S;567;0,01;PFOA;PFOA:0,01;;5;1330;;
Small;567;0,01;PFOA;PFOA:0,01;;5;218;;
G2 + early M;567;0,01;PFOA;PFOA:0,01;;5;320;;
Large;567;0,01;PFOA;PFOA:0,01;;5;56;;
0:None;567;0,01;PFOA;PFOA:0,01;;5;27;;
G0 + G1;567;100;PFOS;PFOS:100;;6;11530;;
S;567;100;PFOS;PFOS:100;;6;1004;;
late M;567;100;PFOS;PFOS:100;;6;165;;
G2 + early M;567;100;PFOS;PFOS:100;;6;230;;
Small;567;100;PFOS;PFOS:100;;6;234;;
Large;567;100;PFOS;PFOS:100;;6;79;;
0:None;567;100;PFOS;PFOS:100;;6;21;;
G0 + G1;567;10;PFOS;PFOS:10;;7;10400;;
late M;567;10;PFOS;PFOS:10;;7;132;;
Small;567;10;PFOS;PFOS:10;;7;250;;
S;567;10;PFOS;PFOS:10;;7;436;;
G2 + early M;567;10;PFOS;PFOS:10;;7;145;;
0:None;567;10;PFOS;PFOS:10;;7;29;;
Large;567;10;PFOS;PFOS:10;;7;46;;
G0 + G1;567;1;PFOS;PFOS:1;;8;13165;;
